permutation num 	 num of swaps
0	2483
1	2556
2	2134
3	2488
4	2569
5	2578
6	2454
7	2494
8	2408
9	2296
10	2507
11	2692
12	2335
13	2604
14	2388
15	2551
16	2724
17	2397
18	2438
19	2261
20	2608
21	2544
22	2265
23	2606
24	2387
25	2546
26	2833
27	2553
28	2606
29	2536
30	2586
31	2612
32	2462
33	2422
34	2165
35	2504
36	2512
37	2681
38	2870
39	2580
40	2502
41	2240
42	2453
43	2415
44	2623
45	2497
46	2634
47	2287
48	2561
49	2480
50	2939
51	2703
52	2381
53	2461
54	2519
55	2171
56	2519
57	2379
58	2577
59	2225
60	2363
61	2656
62	2608
63	2412
64	2567
65	2609
66	2472
67	2517
68	2693
69	2335
70	2756
71	2472
72	2315
73	2420
74	2364
75	2370
76	2133
77	2102
78	2548
79	2666
80	2509
81	2524
82	2647
83	2258
84	2555
85	2483
86	2759
87	2659
88	2081
89	2382
90	2125
91	2276
92	2472
93	2053
94	2383
95	2597
96	2438
97	2342
98	2712
99	2382
100	2408
101	2608
102	2619
103	2633
104	2495
105	2374
106	2571
107	2185
108	2410
109	2150
110	2487
111	2885
112	2598
113	2461
114	2378
115	2554
116	2473
117	2710
118	2474
119	2971
120	2443
121	2193
122	2363
123	2598
124	2481
125	2514
126	2086
127	2250
128	2537
129	2432
130	2319
131	2500
132	2416
133	2510
134	2530
135	2650
136	2379
137	2481
138	2304
139	2494
140	2718
141	2254
142	2351
143	2484
144	2336
145	2483
146	2442
147	2561
148	2197
149	2614
150	2180
151	2350
152	2379
153	2570
154	2671
155	2284
156	2341
157	2310
158	2438
159	2323
160	2445
161	2662
162	2608
163	2164
164	2388
165	2454
166	2415
167	2483
168	2397
169	2571
170	2567
171	2114
172	2318
173	2360
174	2539
175	2325
176	2459
177	2419
178	2266
179	2401
180	2622
181	2526
182	2093
183	2653
184	2384
185	2437
186	2504
187	2577
188	2331
189	2395
190	2309
191	2523
192	2310
193	2254
194	2617
195	2062
196	2663
197	2163
198	2172
199	2539
200	2482
201	2465
202	2596
203	2636
204	2197
205	2803
206	2342
207	2460
208	2019
209	2056
210	2476
211	2283
212	2650
213	2124
214	2647
215	2417
216	2505
217	2437
218	2383
219	2595
220	2418
221	2405
222	2500
223	2252
224	2197
225	2694
226	2402
227	2395
228	2522
229	2339
230	2457
231	2483
232	2408
233	2827
234	2116
235	2603
236	2348
237	2570
238	2385
239	2336
240	2686
241	2305
242	2395
243	2421
244	2269
245	2798
246	2210
247	2480
248	2723
249	2538
250	2618
251	2778
252	2546
253	2513
254	2535
255	2681
256	2534
257	2641
258	2602
259	2563
260	2495
261	2521
262	2520
263	2454
264	2632
265	2625
266	2598
267	2709
268	2348
269	2718
270	2546
271	2785
272	2300
273	2170
274	2563
275	2440
276	2459
277	2396
278	2388
279	2374
280	2538
281	2322
282	2786
283	2487
284	2407
285	2386
286	2504
287	2490
288	2277
289	2733
290	2276
291	2590
292	2355
293	2513
294	2414
295	2598
296	2363
297	2340
298	2497
299	2530
300	2667
301	2353
302	2469
303	2170
304	2239
305	2713
306	2475
307	2229
308	2706
309	2274
310	2804
311	2233
312	2505
313	2588
314	2612
315	2497
316	2633
317	2246
318	2340
319	2574
320	2210
321	2598
322	2306
323	2518
324	2580
325	2490
326	2707
327	2639
328	2480
329	2205
330	2605
331	2595
332	2499
333	2329
334	2307
335	2458
336	2194
337	2379
338	2373
339	2328
340	2519
341	2482
342	2490
343	2765
344	2617
345	2360
346	2422
347	2459
348	2594
349	2406
350	2371
351	2674
352	2558
353	2561
354	2846
355	2652
356	2639
357	2684
358	2228
359	2616
360	2221
361	2730
362	2631
363	2553
364	2518
365	2460
366	2652
367	2591
368	2408
369	2736
370	2473
371	2702
372	2880
373	2686
374	2297
375	2349
376	2429
377	2383
378	2319
379	2602
380	2517
381	2636
382	2179
383	2406
384	2443
385	2862
386	2733
387	2363
388	2846
389	2412
390	2584
391	2485
392	2597
393	2511
394	2926
395	2476
396	2336
397	2681
398	2514
399	2374
400	2609
401	2519
402	2441
403	2407
404	2460
405	2577
406	2601
407	2378
408	2322
409	2525
410	2533
411	2656
412	2430
413	2348
414	2566
415	2390
416	2399
417	2214
418	2332
419	2502
420	2613
421	2207
422	2526
423	2534
424	2656
425	2339
426	2487
427	2610
428	2381
429	2399
430	2656
431	2538
432	2496
433	2834
434	2693
