#Time 	 Value 
1	 5.000000
2	 10.000000
3	 15.000000
4	 20.000000
5	 25.000000
6	 37.000000
7	 37.500000
8	 38.000000
9	 38.500000
10	 39.000000
11	 39.500000
12	 40.000000
13	 40.500000
14	 41.000000
15	 41.500000
16	 42.000000
17	 42.500000
18	 43.000000
19	 43.500000
20	 44.000000
21	 44.500000
22	 45.000000
23	 46.750000
24	 48.500000
25	 50.250000
26	 52.000000
27	 55.000000
28	 58.000000
29	 62.000000
30	 62.333333
31	 62.666667
32	 63.000000
33	 63.333333
34	 63.666667
35	 64.000000
36	 64.333333
37	 64.666667
38	 65.000000
39	 65.333333
40	 65.666667
41	 66.000000
42	 66.200000
43	 66.400000
44	 66.600000
45	 66.800000
46	 67.000000
47	 67.250000
48	 67.500000
49	 67.750000
50	 68.000000
