Time 	 Value 
1	 1.166667
2	 2.333333
3	 3.500000
4	 4.666667
5	 5.833333
6	 7.000000
7	 7.857143
8	 8.714286
9	 9.571429
10	 10.428571
11	 11.285714
12	 12.142857
13	 13.000000
14	 14.200000
15	 15.400000
16	 16.600000
17	 17.800000
18	 19.000000
19	 19.833333
20	 20.666667
21	 21.500000
22	 22.333333
23	 23.166667
24	 24.000000
25	 25.250000
26	 26.500000
27	 27.750000
28	 29.000000
29	 29.800000
30	 30.600000
31	 31.400000
32	 32.200000
33	 33.000000
34	 34.333333
35	 35.666667
36	 37.000000
37	 37.750000
38	 38.500000
39	 39.250000
40	 40.000000
41	 41.500000
42	 43.000000
43	 45.000000
44	 45.000000
45	 45.000000
46	 45.000000
47	 45.000000
48	 45.000000
49	 45.000000
50	 45.000000
